name,expected_ship_date,product_url,vendor
Andromeda,October/November 2021,,Cannonkeys
Satisfaction75 Round 2,Q4 2021,,Cannonkeys
Iron180,Q3 2021,,Cannonkeys
Sagittarius,Q4 2021,,Cannonkeys
Tsukuyomi,October/November 2021,,Cannonkeys
Onyx,December 2021,,Cannonkeys
Cornelius,Q3 2021,,Cannonkeys
Iron165 Round 2,Q1 2022,,Cannonkeys
Angel,Q4 2021,,Cannonkeys
Ikki68 Aurora,August 2021,,Cannonkeys
Ikki68 Aurora x PNC,September 2021,,Cannonkeys
Ikki68 Aurora x Dreamscape,Q4 2021,,Cannonkeys
KAT Atlantis,Q4 2021,,Cannonkeys
GMK Deep Navy,Late Q3/early Q4 2021,,Cannonkeys
KAT Explosion,Q4 2021,,Cannonkeys
GMK Bread,September 2021,,Cannonkeys
CC ZeRo,We will have an accurate ETA soon now that production has started.,,Cannonkeys
GMK Yuru,October 2021,,Cannonkeys
KAT Mizu,Q4 2021,,Cannonkeys
GMK Red Dragon,Q4 2021,,Cannonkeys
GMK Hallyu,Q4 2021,,Cannonkeys
GMK Pink on Navy,Q4 2021,,Cannonkeys
GMK Shanshui,Q4 2021,,Cannonkeys
PBT Geekark Lancelot,July 2021,,Cannonkeys
KAT Crusader,Q4 2021,,Cannonkeys
GMK Birch,Q1 2022,,Cannonkeys
DSA 1930,ETA when domestic tracking,,Cannonkeys
GMK PnC Lite,Q2 2022,,Cannonkeys
GMK Fuji,Q2 2022,,Cannonkeys
GMK WoB/Beige Cyrillic,Q2 2022,,Cannonkeys
GMK Uwu Macro,Q2 2022,,Cannonkeys
Fuji Deskmats,October 2021,,Cannonkeys
SA Mizu,June 2021,,Cannonkeys
Birch Deskmats,August 2021,,Cannonkeys
Hallyu Deskmats,July 2021,,Cannonkeys
Calm Palette Deskmat,July 2021,,Cannonkeys
Shanshui Deskmats,July 2021,,Cannonkeys
Crusader Deskmats,July 2021,,Cannonkeys
J-02,Completed,,Cannonkeys
name,expected_ship_date,product_url,vendor
EPBT Axolotls,Vendors are finalizing their numbers now and then order will be placed to ePBT.Estimated production completion was about 30 weeks from order placement.,,Kono Store
EPBT Ivory,"Ivory Deskmats arrived and orders are shipping out now! Some orders are being held by RAMA Ivory caps, they are in production now.",,Kono Store
EPBT Less But Better,Estimated shipping date is Q3 2021. ,,Kono Store
EPBT Ramenstop,"Currently in Production, estimated completion is mid August. Will take around a month of transit, estimated October shipping to customers.",,Kono Store
EPBT Soju,"Currently in Production, estimated completion is late July to mid August. Will take around a month of transit, estimated October shipping to customers.",,Kono Store
JTK Avocado,Estimated shipping date is Q4 2021.,,Kono Store
KAT Cat's Eye,Production completion is estimated for December 2021.,,Kono Store
KAT Cyberspace,Production is starting in September with about a 1 month production time. Arrival around November after transit.,,Kono Store
KAT LALA,Production is starting in November with about a 1 month production time. Arrival around January/February 2022 after transit.,,Kono Store
MG Ember,Ember completed production and is on it's way to our Shenzhen warehouse for forwarding to our US warehouse. Estimated 1 month transit for September arrival.,,Kono Store
MG Fishing,Estimated production completion is Q4 2021.,,Kono Store
MG Ghost,These are in production now and are expected to complete September/October.,,Kono Store
MG Salmon,Estimated production completion is Q1 2022.,,Kono Store
SA Espresso,Estimated production completion from Signature Plastics is Q3 2022.,,Kono Store
SA Nightlight,"SP has started production, but was delayed by about 4 weeks. Estimation is now late August 2021.",,Kono Store
SA Magica,Tooling has been paid for and vendors are waiting on invoices from Maxkey. Estimated production completion is Q4 2021. ,,Kono Store
SP SA Silent Assassin,SP has stated that production will not be completing this year and is likely completing 2022.,,Kono Store
SP SA Spectra,Order was placed with SP mid-July. Estimated production completion from Signature Plastics is early Q4 2022. ,,Kono Store
GMK Alpine,"Estimated production completion was estimated 38 weeks from order placement (late January 2021), estimated arrival November/December 2021.",,Kono Store
GMK Amethyst,"Order was placed, estimated production from GMK was 36 weeks, putting production completion approximately in September 2021. This will likely be a bit delayed as quite a few sets need to complete beforehand, unless their production speed increases greatly.",,Kono Store
GMK Boho,"Order was placed with GMK. Estimated production completion from GMK was 42 weeks from close, with another month or so for transit before shipping to customers (est. June 2022).",,Kono Store
GMK Deku,Group Buy closed August 7th 2020. GMK's estimated production was originally 28 weeks from our order placement. Previously estimated to complete production in August 2021. We have reached out to GMK and are awaiting an updated lead-time. We now estimate this to complete production in Q4 2021 and will update accurately once GMK replies. ,,Kono Store
GMK Evil Dolch,Order was placed with GMK mid-September 2020. Estimated production completion was originally 28 weeks. Update from GMK puts production completion around September 2021.,,Kono Store
GMK Fox,"Order was placed with GMK. Estimated production completion was 42 weeks which puts completion around March 2022. Estimated to customers about a month after, Q2 2022. ",,Kono Store
GMK Gateway,"Estimated production completion from GMK was 35 weeks from close, with another month or so for transit before shipping to customers (est. Q4 2021).",,Kono Store
GMK Haku,"Estimated production completion from GMK was 42 weeks from close (end of June 2021), with another month or so for transit before shipping to customers (est. May/Q2 2022).",,Kono Store
GMK Hanami Dango,"Estimated production completion from GMK was 38 weeks from close, with another month or so for transit before shipping to customers (Q3 2021).",,Kono Store
GMK Ishtar,Previously estimated to complete production in August 2021. We have reached out to GMK and are awaiting an updated lead-time. We now estimate this to complete production in Q4 2021 and will update accurately once GMK replies. ,,Kono Store
GMK Nines Round 3,"Order was placed in August 2020, with originally a 32 week lead time. GMK updated us that this set is scheduled to complete late September/ early October.",,Kono Store
GMK Prepress,"Estimated production completion was originally 28 weeks, but missed the date. GMK previously estimated this to complete production in August 2021. We have reached out to GMK and are awaiting an updated lead-time. We now estimate this to complete production in Q4 2021 and will update accurately once GMK replies. ",,Kono Store
GMK Pride,Estimated production completion was originally 34 weeks from Group Buy close. It will likely be a bit later due to their production backlog (est. Q4 2021).,,Kono Store
GMK Posh,"Production estimation from GMK was originally 36 weeks. Estimated shipping to customers was August/September 2021, however GMK will likely be delayed since a handful of sets still need to complete beforehand. Estimated November/December 2021.",,Kono Store
GMK Rainy Day,"Order was placed in November with an estimated production of 34 weeks from close, with about another month or so for transit. Originally estimated for September 2021, however GMK will likely be delayed since a handful of sets still need to complete beforehand.",,Kono Store
GMK Retrocast,"Estimated production completion was 34 weeks from order placement (mid Nov), with another few weeks of transit before shipping to customers. Estimated delivery September 2021, assuming GMK production completes on time.",,Kono Store
GMK Shoko R2,Current estimate from GMK is around October 2021 completion.,,Kono Store
GMK Star,"Estimated production completion from GMK was 36 weeks from close, with another month or so for transit before shipping to customers (est. Dec 2021/January 2022).",,Kono Store
GMK Storm,"Estimated production was 36 weeks from close, which puts it November production completion with another month of transit to us. Estimated shipping to customers December/January.",,Kono Store
GMK Sunset Surfing,"Estimated production completion from GMK was 42 weeks from order placement (early June), with another month or so for transit before shipping to customers (est. Early Q2 2022).",,Kono Store
GMK Yeeti,"Vendors were invoiced and everything is in place. Estimated production completion from GMK was 44 weeks from order placement (early April), with another month or so for transit before shipping to customers (est. January/Q1 2022).",,Kono Store
Blade - 60% Keyboard Case,"Production has now been completed as of August 11th. Will take around a month of transit, estimated October 2021 shipping to customers.",,Kono Store
Deskmats,"Deskmats en route to our warehouse:GMK Deku, GMK Evil Dolch, GMK Ishtar, GMK Posh, GMK Prepress, SA NightlightSamples are being inspected for the newest batch, which includes KAT Cyberspace, SA Magica, GMK Rainy Day, GMK Alpine, GMK Amethyst, SA Nightlight, GMK Hanami Dango, GMK Retrocast, ePBT Ramenstop, and ePBT Soju.",,Kono Store
EV-01 Switches,"These completed production and are in transit to our warehouse. Will take around a month of transit and customs and will be in-stock mid August.We requested an update, but the factory stated they are actually in the process of moving the entire factory location. They requested the Bill of Materials again for production and is confirming the details.Final flashing was tested and approved. Once production starts it should take about two months.",,Kono Store
Keebwerk Nano Oasis,Keebwerk will be finishing production by the end of next week. Arrival by August/September 2021 after transit.,,Kono Store
